run_id,run_role,root_cause_service,fault_family,fault_type,window_count,split_stratum,split,split_seed
cart_latency_500_002,fault,cart,cart_latency_500,latency,60,cart_latency,train,42
cart_latency_500_004,fault,cart,cart_latency_500,latency,60,cart_latency,train,42
cart_latency_500_005,fault,cart,cart_latency_500,latency,60,cart_latency,train,42
checkout_error_50_002,fault,checkout,checkout_error_50,error,60,checkout_error,train,42
checkout_error_50_003,fault,checkout,checkout_error_50,error,60,checkout_error,train,42
checkout_error_50_004,fault,checkout,checkout_error_50,error,60,checkout_error,train,42
checkout_latency_500_003,fault,checkout,checkout_latency_500,latency,60,checkout_latency,train,42
checkout_latency_500_004,fault,checkout,checkout_latency_500,latency,60,checkout_latency,train,42
checkout_latency_500_005,fault,checkout,checkout_latency_500,latency,60,checkout_latency,train,42
healthy_baseline_005,healthy,healthy,healthy,none,60,healthy,train,42
healthy_control_cart_context_001,healthy,healthy,healthy,none,60,healthy,train,42
healthy_control_checkout_context_001,healthy,healthy,healthy,none,60,healthy,train,42
payment_error_50_001,fault,payment,payment_error_50,error,60,payment_error,train,42
payment_error_50_002,fault,payment,payment_error_50,error,60,payment_error,train,42
payment_error_50_005,fault,payment,payment_error_50,error,60,payment_error,train,42
payment_latency_500_001,fault,payment,payment_latency_500,latency,60,payment_latency,train,42
payment_latency_500_003,fault,payment,payment_latency_500,latency,60,payment_latency,train,42
payment_latency_500_005,fault,payment,payment_latency_500,latency,60,payment_latency,train,42
product_catalog_error_50_003,fault,product_catalog,product_catalog_error_50,error,60,product_catalog_error,train,42
product_catalog_error_50_005,fault,product_catalog,product_catalog_error_50,error,60,product_catalog_error,train,42
product_catalog_error_50_006,fault,product_catalog,product_catalog_error_50,error,60,product_catalog_error,train,42
product_catalog_latency_500_002,fault,product_catalog,product_catalog_latency_500,latency,60,product_catalog_latency,train,42
product_catalog_latency_500_003,fault,product_catalog,product_catalog_latency_500,latency,60,product_catalog_latency,train,42
product_catalog_latency_500_004,fault,product_catalog,product_catalog_latency_500,latency,60,product_catalog_latency,train,42
cart_latency_500_006,fault,cart,cart_latency_500,latency,60,cart_latency,validation,42
checkout_error_50_005,fault,checkout,checkout_error_50,error,60,checkout_error,validation,42
checkout_latency_500_002,fault,checkout,checkout_latency_500,latency,60,checkout_latency,validation,42
healthy_pilot_001,healthy,healthy,healthy,none,60,healthy,validation,42
payment_error_50_003,fault,payment,payment_error_50,error,60,payment_error,validation,42
payment_latency_500_004,fault,payment,payment_latency_500,latency,60,payment_latency,validation,42
product_catalog_error_50_001,fault,product_catalog,product_catalog_error_50,error,60,product_catalog_error,validation,42
product_catalog_latency_500_005,fault,product_catalog,product_catalog_latency_500,latency,60,product_catalog_latency,validation,42
cart_latency_500_003,fault,cart,cart_latency_500,latency,60,cart_latency,test,42
checkout_error_50_001,fault,checkout,checkout_error_50,error,60,checkout_error,test,42
checkout_latency_500_006,fault,checkout,checkout_latency_500,latency,60,checkout_latency,test,42
healthy_baseline_004,healthy,healthy,healthy,none,60,healthy,test,42
payment_error_50_004,fault,payment,payment_error_50,error,60,payment_error,test,42
payment_latency_500_006,fault,payment,payment_latency_500,latency,60,payment_latency,test,42
product_catalog_error_50_002,fault,product_catalog,product_catalog_error_50,error,60,product_catalog_error,test,42
product_catalog_latency_500_006,fault,product_catalog,product_catalog_latency_500,latency,60,product_catalog_latency,test,42
