feature,importance
payment__cpu,0.10398190287111911
checkout__cpu,0.09545093914457692
cart__cpu,0.0752329079014413
shipping__cpu,0.054518788577412026
cart__memory,0.049322774394487366
product-catalog__cpu,0.04925060126082733
checkout__memory,0.046262329502880846
recommendation__cpu,0.04166322252996723
frontend-proxy__cpu,0.03802250767507208
email__cpu,0.036898494851713405
quote__cpu,0.03550156941382668
cart__latency_ms,0.034440273798791124
recommendation__memory,0.032442697770272415
frontend__memory,0.03138956828874868
currency__cpu,0.024868539867108536
frontend__latency_ms,0.023743733195720058
product-catalog__memory,0.021981170791624285
product-catalog__latency_ms,0.015467108242712763
ad__cpu,0.01497775976849796
frontend-proxy__error_rate,0.01445010339903029
frontend__error_rate,0.01312934113926667
checkout__latency_ms,0.012887322322934897
frontend__cpu,0.012054492908275372
frontend-proxy__memory,0.011963126311645178
frontend__error_rps,0.011722245784288625
currency__memory,0.008420456468878595
frontend-proxy__error_rps,0.007720244414604604
product-catalog__error_rps,0.007686952368023344
payment__latency_ms,0.007620672871265478
product-catalog__error_rate,0.007220310258984134
checkout__error_rate,0.006355506305288745
frontend-proxy__latency_ms,0.006350973309231168
checkout__error_rps,0.006219252274954654
shipping__memory,0.006048600920271778
payment__error_rps,0.005787487905262542
payment__error_rate,0.005104623470205837
frontend-proxy__request_rate,0.004274807445534879
ad__memory,0.0037385664337449354
email__memory,0.003494044580053244
quote__latency_ms,0.002504544989961629
payment__memory,0.0015830232769069846
shipping__request_rate,0.001333438884734542
frontend__request_rate,0.0012912606128621773
currency__request_rate,0.0011736129539188997
payment__request_rate,0.0011017425041309945
shipping__latency_ms,0.0006932680561486948
quote__request_rate,0.0006149178032519735
recommendation__request_rate,0.0004983495018481101
email__request_rate,0.0004583246344515157
ad__latency_ms,0.0001554501606486753
email__latency_ms,0.0001506786031836842
recommendation__latency_ms,0.0001474374483688491
product-catalog__request_rate,0.00013830399830423308
currency__latency_ms,0.0001235400380936667
cart__request_rate,0.00011432945050617246
quote__memory,7.977730883122334e-05
email__has_requests,6.0802096396113366e-05
ad__request_rate,6.068930427462187e-05
checkout__request_rate,2.8657509246267114e-05
quote__has_requests,1.7197446177246803e-05
ad__has_requests,4.632679208680483e-06
frontend__has_requests,0.0
checkout__has_requests,0.0
payment__has_requests,0.0
cart__has_requests,0.0
currency__has_requests,0.0
shipping__has_requests,0.0
product-catalog__has_requests,0.0
recommendation__has_requests,0.0
frontend-proxy__has_requests,0.0
cart__error_rps,0.0
currency__error_rps,0.0
shipping__error_rps,0.0
quote__error_rps,0.0
email__error_rps,0.0
ad__error_rps,0.0
recommendation__error_rps,0.0
cart__error_rate,0.0
currency__error_rate,0.0
shipping__error_rate,0.0
recommendation__error_rate,0.0
email__error_rate,0.0
ad__error_rate,0.0
quote__error_rate,0.0
