run_id,run_role,condition,pair_id,root_cause_service,fault_type,fault_family,rows,columns,metrics_file
healthy_pilot_001,healthy,healthy,,healthy,,healthy,720,9,D:\RootLensAI\rootlens\data\raw\healthy_pilot_001\metrics.csv
healthy_control_cart_context_001,healthy,healthy,,healthy,,healthy,720,9,D:\RootLensAI\rootlens\data\raw\healthy_control_cart_context_001\metrics.csv
healthy_control_checkout_context_001,healthy,healthy,,healthy,,healthy,720,9,D:\RootLensAI\rootlens\data\raw\healthy_control_checkout_context_001\metrics.csv
healthy_baseline_004,healthy,healthy,,healthy,,healthy,720,9,D:\RootLensAI\rootlens\data\raw\healthy_baseline_004\metrics.csv
healthy_baseline_005,healthy,healthy,,healthy,,healthy,720,9,D:\RootLensAI\rootlens\data\raw\healthy_baseline_005\metrics.csv
payment_latency_500_001,fault,fault,payment_latency_500_001,payment,latency,payment_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\payment_latency_500_001\metrics.csv
payment_latency_500_recovery_002,recovery,recovery,payment_latency_500_001,payment,latency,payment_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\payment_latency_500_recovery_002\metrics.csv
payment_latency_500_003,fault,fault,payment_latency_500_003,payment,latency,payment_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\payment_latency_500_003\metrics.csv
payment_latency_500_recovery_003,recovery,recovery,payment_latency_500_003,payment,latency,payment_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\payment_latency_500_recovery_003\metrics.csv
payment_latency_500_004,fault,fault,payment_latency_500_004,payment,latency,payment_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\payment_latency_500_004\metrics.csv
payment_latency_500_recovery_004,recovery,recovery,payment_latency_500_004,payment,latency,payment_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\payment_latency_500_recovery_004\metrics.csv
payment_latency_500_005,fault,fault,payment_latency_500_005,payment,latency,payment_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\payment_latency_500_005\metrics.csv
payment_latency_500_recovery_005,recovery,recovery,payment_latency_500_005,payment,latency,payment_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\payment_latency_500_recovery_005\metrics.csv
payment_latency_500_006,fault,fault,payment_latency_500_006,payment,latency,payment_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\payment_latency_500_006\metrics.csv
payment_latency_500_recovery_006,recovery,recovery,payment_latency_500_006,payment,latency,payment_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\payment_latency_500_recovery_006\metrics.csv
cart_latency_500_002,fault,fault,cart_latency_500_002,cart,latency,cart_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\cart_latency_500_002\metrics.csv
cart_latency_500_recovery_002,recovery,recovery,cart_latency_500_002,cart,latency,cart_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\cart_latency_500_recovery_002\metrics.csv
cart_latency_500_003,fault,fault,cart_latency_500_003,cart,latency,cart_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\cart_latency_500_003\metrics.csv
cart_latency_500_recovery_003,recovery,recovery,cart_latency_500_003,cart,latency,cart_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\cart_latency_500_recovery_003\metrics.csv
cart_latency_500_004,fault,fault,cart_latency_500_004,cart,latency,cart_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\cart_latency_500_004\metrics.csv
cart_latency_500_recovery_004,recovery,recovery,cart_latency_500_004,cart,latency,cart_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\cart_latency_500_recovery_004\metrics.csv
cart_latency_500_005,fault,fault,cart_latency_500_005,cart,latency,cart_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\cart_latency_500_005\metrics.csv
cart_latency_500_recovery_005,recovery,recovery,cart_latency_500_005,cart,latency,cart_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\cart_latency_500_recovery_005\metrics.csv
cart_latency_500_006,fault,fault,cart_latency_500_006,cart,latency,cart_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\cart_latency_500_006\metrics.csv
cart_latency_500_recovery_006,recovery,recovery,cart_latency_500_006,cart,latency,cart_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\cart_latency_500_recovery_006\metrics.csv
checkout_latency_500_002,fault,fault,checkout_latency_500_002,checkout,latency,checkout_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\checkout_latency_500_002\metrics.csv
checkout_latency_500_recovery_002,recovery,recovery,checkout_latency_500_002,checkout,latency,checkout_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\checkout_latency_500_recovery_002\metrics.csv
checkout_latency_500_003,fault,fault,checkout_latency_500_003,checkout,latency,checkout_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\checkout_latency_500_003\metrics.csv
checkout_latency_500_recovery_003,recovery,recovery,checkout_latency_500_003,checkout,latency,checkout_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\checkout_latency_500_recovery_003\metrics.csv
checkout_latency_500_004,fault,fault,checkout_latency_500_004,checkout,latency,checkout_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\checkout_latency_500_004\metrics.csv
checkout_latency_500_recovery_004,recovery,recovery,checkout_latency_500_004,checkout,latency,checkout_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\checkout_latency_500_recovery_004\metrics.csv
checkout_latency_500_005,fault,fault,checkout_latency_500_005,checkout,latency,checkout_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\checkout_latency_500_005\metrics.csv
checkout_latency_500_recovery_005,recovery,recovery,checkout_latency_500_005,checkout,latency,checkout_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\checkout_latency_500_recovery_005\metrics.csv
checkout_latency_500_006,fault,fault,checkout_latency_500_006,checkout,latency,checkout_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\checkout_latency_500_006\metrics.csv
checkout_latency_500_recovery_006,recovery,recovery,checkout_latency_500_006,checkout,latency,checkout_latency_500,720,9,D:\RootLensAI\rootlens\data\raw\checkout_latency_500_recovery_006\metrics.csv
payment_error_50_001,fault,fault,payment_error_50_001,payment,error,payment_error_50,720,9,D:\RootLensAI\rootlens\data\raw\payment_error_50_001\metrics.csv
payment_error_50_recovery_001,recovery,recovery,payment_error_50_001,payment,error,payment_error_50,720,9,D:\RootLensAI\rootlens\data\raw\payment_error_50_recovery_001\metrics.csv
payment_error_50_002,fault,fault,payment_error_50_002,payment,error,payment_error_50,720,9,D:\RootLensAI\rootlens\data\raw\payment_error_50_002\metrics.csv
payment_error_50_recovery_002,recovery,recovery,payment_error_50_002,payment,error,payment_error_50,720,9,D:\RootLensAI\rootlens\data\raw\payment_error_50_recovery_002\metrics.csv
payment_error_50_003,fault,fault,payment_error_50_003,payment,error,payment_error_50,720,9,D:\RootLensAI\rootlens\data\raw\payment_error_50_003\metrics.csv
payment_error_50_recovery_003,recovery,recovery,payment_error_50_003,payment,error,payment_error_50,720,9,D:\RootLensAI\rootlens\data\raw\payment_error_50_recovery_003\metrics.csv
payment_error_50_004,fault,fault,payment_error_50_004,payment,error,payment_error_50,720,9,D:\RootLensAI\rootlens\data\raw\payment_error_50_004\metrics.csv
payment_error_50_recovery_004,recovery,recovery,payment_error_50_004,payment,error,payment_error_50,720,9,D:\RootLensAI\rootlens\data\raw\payment_error_50_recovery_004\metrics.csv
payment_error_50_005,fault,fault,payment_error_50_005,payment,error,payment_error_50,720,9,D:\RootLensAI\rootlens\data\raw\payment_error_50_005\metrics.csv
payment_error_50_recovery_005,recovery,recovery,payment_error_50_005,payment,error,payment_error_50,720,9,D:\RootLensAI\rootlens\data\raw\payment_error_50_recovery_005\metrics.csv
product_catalog_error_50_001,fault,fault,product_catalog_error_50_001,product_catalog,error,product_catalog_error_50,720,9,D:\RootLensAI\rootlens\data\raw\product_catalog_error_50_001\metrics.csv
product_catalog_error_50_recovery_001,recovery,recovery,product_catalog_error_50_001,product_catalog,error,product_catalog_error_50,720,9,D:\RootLensAI\rootlens\data\raw\product_catalog_error_50_recovery_001\metrics.csv
product_catalog_error_50_002,fault,fault,product_catalog_error_50_002,product_catalog,error,product_catalog_error_50,720,9,D:\RootLensAI\rootlens\data\raw\product_catalog_error_50_002\metrics.csv
product_catalog_error_50_recovery_002,recovery,recovery,product_catalog_error_50_002,product_catalog,error,product_catalog_error_50,720,9,D:\RootLensAI\rootlens\data\raw\product_catalog_error_50_recovery_002\metrics.csv
product_catalog_error_50_003,fault,fault,product_catalog_error_50_003,product_catalog,error,product_catalog_error_50,720,9,D:\RootLensAI\rootlens\data\raw\product_catalog_error_50_003\metrics.csv
product_catalog_error_50_recovery_003,recovery,recovery,product_catalog_error_50_003,product_catalog,error,product_catalog_error_50,720,9,D:\RootLensAI\rootlens\data\raw\product_catalog_error_50_recovery_003\metrics.csv
product_catalog_error_50_005,fault,fault,product_catalog_error_50_005,product_catalog,error,product_catalog_error_50,720,9,D:\RootLensAI\rootlens\data\raw\product_catalog_error_50_005\metrics.csv
product_catalog_error_50_recovery_005,recovery,recovery,product_catalog_error_50_005,product_catalog,error,product_catalog_error_50,720,9,D:\RootLensAI\rootlens\data\raw\product_catalog_error_50_recovery_005\metrics.csv
product_catalog_error_50_006,fault,fault,product_catalog_error_50_006,product_catalog,error,product_catalog_error_50,720,9,D:\RootLensAI\rootlens\data\raw\product_catalog_error_50_006\metrics.csv
product_catalog_error_50_recovery_006,recovery,recovery,product_catalog_error_50_006,product_catalog,error,product_catalog_error_50,720,9,D:\RootLensAI\rootlens\data\raw\product_catalog_error_50_recovery_006\metrics.csv
