run_id,column,pandas_dtype,semantic_type,review_class
healthy_pilot_001,timestamp,object,categorical_or_text,time_key_review
healthy_pilot_001,service,object,categorical_or_text,entity_key_review
healthy_pilot_001,request_rate,float64,numeric,candidate_feature_review
healthy_pilot_001,error_rate,float64,numeric,candidate_feature_review
healthy_pilot_001,latency_ms,float64,numeric,candidate_feature_review
healthy_pilot_001,cpu,float64,numeric,candidate_feature_review
healthy_pilot_001,memory,float64,numeric,candidate_feature_review
healthy_pilot_001,error_rps,float64,numeric,candidate_feature_review
healthy_pilot_001,has_requests,int64,numeric,candidate_feature_review
healthy_control_cart_context_001,timestamp,object,categorical_or_text,time_key_review
healthy_control_cart_context_001,service,object,categorical_or_text,entity_key_review
healthy_control_cart_context_001,request_rate,float64,numeric,candidate_feature_review
healthy_control_cart_context_001,error_rate,float64,numeric,candidate_feature_review
healthy_control_cart_context_001,latency_ms,float64,numeric,candidate_feature_review
healthy_control_cart_context_001,cpu,float64,numeric,candidate_feature_review
healthy_control_cart_context_001,memory,float64,numeric,candidate_feature_review
healthy_control_cart_context_001,error_rps,float64,numeric,candidate_feature_review
healthy_control_cart_context_001,has_requests,int64,numeric,candidate_feature_review
healthy_control_checkout_context_001,timestamp,object,categorical_or_text,time_key_review
healthy_control_checkout_context_001,service,object,categorical_or_text,entity_key_review
healthy_control_checkout_context_001,request_rate,float64,numeric,candidate_feature_review
healthy_control_checkout_context_001,error_rate,float64,numeric,candidate_feature_review
healthy_control_checkout_context_001,latency_ms,float64,numeric,candidate_feature_review
healthy_control_checkout_context_001,cpu,float64,numeric,candidate_feature_review
healthy_control_checkout_context_001,memory,float64,numeric,candidate_feature_review
healthy_control_checkout_context_001,error_rps,float64,numeric,candidate_feature_review
healthy_control_checkout_context_001,has_requests,int64,numeric,candidate_feature_review
healthy_baseline_004,timestamp,object,categorical_or_text,time_key_review
healthy_baseline_004,service,object,categorical_or_text,entity_key_review
healthy_baseline_004,request_rate,float64,numeric,candidate_feature_review
healthy_baseline_004,error_rate,float64,numeric,candidate_feature_review
healthy_baseline_004,latency_ms,float64,numeric,candidate_feature_review
healthy_baseline_004,cpu,float64,numeric,candidate_feature_review
healthy_baseline_004,memory,float64,numeric,candidate_feature_review
healthy_baseline_004,error_rps,float64,numeric,candidate_feature_review
healthy_baseline_004,has_requests,int64,numeric,candidate_feature_review
healthy_baseline_005,timestamp,object,categorical_or_text,time_key_review
healthy_baseline_005,service,object,categorical_or_text,entity_key_review
healthy_baseline_005,request_rate,float64,numeric,candidate_feature_review
healthy_baseline_005,error_rate,float64,numeric,candidate_feature_review
healthy_baseline_005,latency_ms,float64,numeric,candidate_feature_review
healthy_baseline_005,cpu,float64,numeric,candidate_feature_review
healthy_baseline_005,memory,float64,numeric,candidate_feature_review
healthy_baseline_005,error_rps,float64,numeric,candidate_feature_review
healthy_baseline_005,has_requests,int64,numeric,candidate_feature_review
payment_latency_500_001,timestamp,object,categorical_or_text,time_key_review
payment_latency_500_001,service,object,categorical_or_text,entity_key_review
payment_latency_500_001,request_rate,float64,numeric,candidate_feature_review
